EngineTemp,BrakePressure,BatteryLife
100.18,71.46,96
108.28,79.36,92
99.77,62.29,64
105.48,43.15,40
81.54,69.3,84
87.77,33.31,16
113.51,77.55,41
116.32,41.87,56
71.64,39.13,35
100.92,79.8,26
116.4,42.58,60
109.29,66.81,100
101.0,43.31,91
77.82,54.4,58
92.51,79.03,55
72.26,35.49,55
99.06,34.43,56
103.42,59.18,89
77.25,49.35,61
119.63,39.46,42
106.63,54.05,9
72.68,67.41,13
97.31,41.92,34
90.78,54.1,7
107.85,45.14,46
94.63,63.78,64
77.3,73.97,12
94.15,67.56,76
118.0,68.63,51
80.07,35.46,31
118.13,32.67,79
103.43,41.22,79
74.45,37.14,32
83.25,61.03,78
109.38,36.79,6
98.24,63.71,28
87.41,63.07,9
75.16,37.63,15
86.22,38.29,80
76.04,68.14,95
95.53,75.67,33
90.42,53.72,56
77.5,53.18,51
113.4,53.51,15
107.03,41.68,35
90.28,48.52,29
115.95,71.54,97
103.13,32.32,38
83.94,55.75,84
106.99,74.21,67
117.02,61.33,56
113.01,62.08,27
104.94,50.1,85
108.97,44.03,89
109.77,53.33,26
110.58,56.01,6
113.06,45.88,93
75.73,49.51,24
116.29,60.74,30
110.77,62.98,66
76.71,59.5,90
112.12,78.36,88
105.41,68.69,96
111.32,31.17,50
89.21,58.95,93
83.7,31.91,87
92.01,70.29,29
74.77,74.51,85
99.86,64.57,20
117.15,68.2,3
118.3,76.15,78
88.19,73.73,86
93.83,40.17,34
84.59,67.04,0
106.79,52.88,53
77.62,42.12,83
83.32,77.51,15
94.18,76.13,73
100.05,48.31,63
97.34,33.99,28
71.74,50.31,66
79.3,78.06,39
116.11,48.42,95
81.97,41.35,10
103.54,64.39,98
116.18,37.71,42
74.16,78.8,60
92.2,64.47,14
97.57,58.11,21
98.64,35.02,4
71.64,59.75,48
107.44,73.56,4
114.35,45.63,3
114.27,79.77,13
86.61,38.14,39
85.68,31.16,29
76.06,54.4,49
116.64,62.12,31
94.71,69.98,95
84.95,30.87,79
77.61,41.52,93
72.3,47.22,61
80.41,41.54,94
93.57,53.09,40
104.93,45.87,5
76.03,34.91,93
95.74,79.35,33
85.58,75.34,18
115.1,64.23,39
80.65,34.08,3
73.63,79.86,95
101.54,56.01,89
81.58,50.86,45
107.5,32.0,76
80.38,62.79,79
96.84,58.12,77
98.94,63.08,11
107.98,78.05,25
90.98,55.46,20
103.09,51.96,32
88.74,51.46,34
89.98,67.9,99
98.51,74.43,14
112.41,66.75,18
90.33,33.06,60
119.24,62.05,52
99.75,47.51,58
100.45,47.44,57
84.64,35.37,9
80.6,65.19,71
108.88,47.31,72
76.01,64.82,23
113.71,47.17,97
109.61,48.9,29
96.64,57.7,1
89.56,66.42,78
76.95,41.7,62
107.68,63.3,13
78.68,43.5,7
114.62,35.26,35
78.94,56.01,12
119.83,69.0,3
94.88,58.95,54
115.24,42.88,74
88.24,44.44,39
118.86,61.29,3
86.36,68.35,60
71.6,43.79,75
87.07,40.77,92
112.18,45.7,26
99.39,66.01,77
101.34,48.99,62
94.46,58.68,69
75.08,39.38,32
93.57,66.95,13
108.9,79.17,15
77.73,48.92,7
107.32,42.88,76
115.04,30.66,71
79.58,76.84,84
86.54,54.39,48
84.14,33.01,51
91.47,76.69,82
80.53,73.09,56
79.94,68.01,67
110.16,61.34,61
75.54,61.72,33
112.12,32.83,18
107.91,40.78,42
115.18,49.6,39
101.01,58.77,14
110.01,60.71,64
99.31,72.97,18
119.1,67.88,4
74.38,31.11,70
79.61,40.11,45
88.46,51.94,46
118.68,49.02,66
119.35,60.18,96
81.1,64.02,1
80.7,61.81,84
115.78,79.85,87
106.85,62.74,23
109.82,51.27,43
72.19,52.57,67
115.86,62.47,52
108.1,52.12,52
74.91,55.9,58
94.97,35.89,84
106.02,71.2,19
73.58,66.82,12
82.18,58.89,58
101.16,72.46,84
100.63,45.87,70
86.28,66.14,67
89.63,49.56,99
103.42,39.64,24
85.83,73.6,92
101.53,65.86,52
118.53,42.28,1
87.14,38.87,87
97.02,35.58,1
119.71,57.04,12
85.94,34.33,41
99.3,51.98,50
105.97,39.88,76
110.11,53.61,73
80.19,58.7,20
106.5,61.0,95
112.15,46.3,39
106.89,39.16,54
80.16,39.8,14
79.36,36.38,68
110.27,74.21,49
77.26,40.55,66
92.58,49.94,89
119.81,60.07,76
104.76,74.52,60
104.23,77.55,57
83.38,47.61,3
76.88,47.43,50
80.47,35.97,44
80.38,32.41,54
94.04,45.31,80
73.89,43.74,51
75.17,36.69,0
71.03,54.84,75
107.98,34.32,42
90.01,34.07,36
83.15,54.51,1
86.68,74.56,91
99.74,73.73,76
105.87,33.32,62
111.43,67.69,13
77.09,35.46,71
74.99,60.18,3
79.15,60.97,36
109.94,72.51,60
114.03,47.21,100
106.82,58.56,40
116.47,68.07,30
84.72,38.12,22
100.42,54.16,97
83.62,60.46,11
77.39,58.38,66
111.44,75.06,28
118.58,67.13,86
107.35,50.02,25
88.45,50.77,87
79.1,33.83,76
99.52,58.48,95
99.89,52.55,94
90.51,74.25,41
76.59,65.23,70
71.33,72.13,8
107.61,72.89,25
99.35,73.35,40
96.43,36.31,38
105.49,76.96,14
90.89,37.0,13
86.42,78.75,49
110.55,39.53,81
109.02,49.46,34
102.8,69.93,4
95.6,54.26,62
86.93,38.9,75
108.45,53.9,78
82.67,64.13,55
72.05,66.8,0
78.72,73.17,4
111.83,40.53,47
106.68,66.1,54
95.36,57.98,37
72.77,47.27,89
111.69,62.99,47
74.52,45.55,39
76.36,46.44,38
95.19,60.65,15
94.59,51.37,100
111.89,31.64,44
115.99,67.6,33
97.64,32.9,7
93.15,48.99,37
79.25,37.18,17
93.33,38.89,22
85.63,63.16,35
111.13,66.88,24
78.0,54.1,40
107.59,75.53,31
93.65,36.82,78
117.51,37.97,20
112.98,56.94,88
84.85,70.97,99
114.55,58.61,37
85.14,63.47,42
74.52,30.79,50
84.22,47.61,55
118.9,76.57,78
91.77,71.5,93
97.44,72.69,65
106.28,77.59,60
75.55,30.22,73
104.07,52.64,1
113.25,79.73,87
108.1,72.81,3
76.08,45.92,92
94.12,77.82,20
108.86,55.47,77
107.29,48.03,1
89.37,58.76,81
114.29,53.38,13
119.41,77.57,80
113.97,33.8,88
109.81,36.4,33
95.82,70.05,52
87.18,50.85,14
99.97,49.7,36
71.25,49.32,100
90.8,66.23,50
116.69,42.63,93
112.09,67.92,19
79.85,45.26,71
95.73,79.75,88
87.33,34.02,68
100.33,48.83,65
71.67,48.13,65
83.62,59.73,59
72.11,54.56,50
118.01,39.19,82
93.79,45.03,67
90.28,48.29,70
84.82,35.19,58
70.74,42.68,97
76.86,32.59,94
117.77,50.34,9
113.24,60.74,16
118.27,30.57,49
100.1,76.32,13
119.05,66.55,92
70.09,32.14,8
81.44,48.85,34
110.9,56.17,19
89.14,64.3,89
83.97,31.86,15
88.88,66.98,43
78.51,42.2,98
84.18,67.67,86
110.08,59.4,81
103.56,69.23,44
94.31,70.04,88
99.77,69.19,44
95.56,77.09,35
74.3,76.88,89
72.57,31.6,59
110.75,58.37,46
110.03,55.66,14
75.26,32.02,53
99.52,69.74,70
71.09,43.56,96
101.29,38.47,40
98.61,36.94,29
99.11,32.12,20
92.06,57.22,21
108.22,65.19,6
113.87,49.15,100
109.65,60.09,16
100.18,53.21,20
73.94,61.79,24
77.68,36.51,62
81.65,33.66,22
87.86,75.22,0
91.17,51.22,47
80.49,44.06,36
82.34,46.64,89
105.12,42.95,0
72.54,63.52,2
96.27,43.64,46
77.0,40.34,30
104.33,59.44,37
102.19,37.69,34
111.04,76.8,94
102.1,68.74,47
83.1,44.01,31
110.75,38.58,84
116.63,44.06,23
115.56,32.65,69
90.38,67.51,47
81.92,45.84,17
93.7,65.96,28
86.44,32.85,87
96.68,47.66,27
111.71,43.02,64
83.53,71.7,10
75.45,64.64,7
90.88,77.2,56
109.84,73.63,31
96.72,32.61,40
70.34,61.89,66
85.79,61.44,82
74.74,73.03,65
100.08,48.39,29
119.04,40.75,49
71.52,47.93,61
118.39,64.76,3
115.52,43.01,1
112.11,30.19,71
87.45,40.38,85
93.14,68.35,76
88.96,60.14,35
110.93,33.01,89
79.03,49.22,64
114.93,46.76,55
79.78,42.21,30
87.58,55.31,79
110.74,51.95,94
115.8,55.15,79
83.87,59.62,8
70.73,74.68,95
103.48,65.49,90
118.95,47.75,81
86.07,32.22,16
80.18,45.84,71
95.13,55.77,29
80.86,41.05,14
113.04,72.29,40
93.55,37.83,59
72.5,69.37,42
88.14,53.62,5
91.94,46.57,45
82.13,62.54,63
114.39,70.48,95
99.59,70.76,60
76.06,72.22,23
91.91,75.2,97
111.1,54.01,93
105.52,47.89,23
101.68,35.0,86
97.71,52.63,14
70.29,65.45,14
117.46,79.54,98
88.89,43.7,97
96.18,59.75,68
73.6,37.1,42
91.54,46.96,55
87.65,49.36,79
111.33,68.44,14
99.09,37.86,66
113.09,65.19,22
107.98,65.31,3
117.59,38.28,12
111.98,54.62,21
73.62,62.82,74
70.74,46.14,76
113.57,41.52,87
98.98,56.78,44
73.57,69.1,94
109.3,43.87,33
83.88,56.76,72
115.12,43.35,5
114.61,79.93,61
117.07,40.79,67
83.31,64.0,9
85.59,67.57,41
97.44,51.29,46
86.91,60.35,64
100.96,36.34,71
108.45,63.1,87
96.25,43.9,73
85.83,43.57,68
87.29,71.48,61
99.57,66.74,26
105.63,76.23,53
106.6,59.46,13
95.32,73.11,81
109.23,61.9,29
101.93,40.32,38
94.64,75.92,94
86.29,55.31,68
87.08,67.13,95
84.86,67.52,22
109.84,47.15,16
75.07,44.51,88
113.01,35.8,47
112.07,53.57,11
111.69,45.82,29
92.15,46.67,80
91.69,77.83,96
88.14,58.21,28
75.67,66.59,19
88.13,39.4,38
93.39,45.24,74
91.42,34.65,75
97.92,76.62,82
98.67,54.31,19
98.69,48.22,21
81.56,32.74,62
97.67,62.43,7
111.43,49.81,78
102.31,62.17,7
117.61,79.46,78
87.95,58.28,0
113.36,69.81,59
90.8,36.5,87
94.24,40.25,63
106.13,73.66,78
111.59,49.51,43
95.78,44.75,13
75.77,71.26,35
74.11,40.9,18
102.55,55.91,71
74.14,75.18,74
99.8,40.33,54
98.1,44.08,61
110.53,36.81,67
85.49,54.58,66
104.09,43.25,92
87.55,31.45,12
96.93,61.28,80
112.42,74.45,89
118.1,53.43,41
116.14,50.71,29
115.01,34.63,65
96.96,70.72,73
94.01,74.2,8
101.25,49.41,16
111.92,43.41,86
76.7,79.52,47
100.83,32.91,63
113.17,30.11,72
115.0,67.52,46
94.32,40.23,90
114.77,51.37,83
104.73,38.87,91
92.99,58.6,20
114.19,35.84,58
74.83,77.56,94
88.82,66.14,92
116.28,60.79,42
117.01,68.07,75
97.96,41.17,57
74.31,64.47,59
103.98,55.17,70
114.79,55.4,99
108.3,54.33,12
88.87,66.55,28
78.89,67.16,45
71.93,76.31,58
79.37,63.76,100
113.3,72.55,82
80.86,52.24,22
111.23,55.95,27
98.85,72.08,64
100.1,50.43,94
82.29,67.13,37
81.47,75.55,97
87.44,37.67,97
118.51,38.13,88
80.8,64.91,26
105.65,39.53,88
78.53,53.03,1
112.89,78.75,47
112.78,40.84,12
98.56,60.88,13
104.5,74.72,80
109.95,50.52,9
107.71,56.22,16
106.86,33.6,88
98.75,63.75,38
96.27,58.68,86
117.95,61.0,35
100.11,64.95,90
80.41,62.28,40
72.45,53.41,39
95.28,51.0,61
89.33,34.76,97
78.36,44.8,26
99.55,71.3,82
99.39,59.77,73
78.0,73.97,49
87.14,73.0,67
106.04,42.81,16
100.17,50.58,60
84.76,60.96,29
113.58,34.37,77
88.62,38.12,69
115.89,46.36,36
114.17,76.43,21
117.4,44.62,15
71.17,42.6,48
110.12,59.93,21
109.01,35.86,86
92.74,38.13,66
95.24,67.55,70
109.37,43.5,34
118.92,43.51,25
86.53,56.58,59
113.8,67.31,5
108.74,35.67,96
99.64,79.81,60
103.26,74.98,43
90.57,50.51,26
96.83,72.61,53
101.68,41.81,62
86.2,53.03,50
81.64,58.11,95
75.88,60.74,99
82.78,70.95,48
70.27,63.61,69
79.64,74.71,11
96.2,39.96,0
82.66,30.16,32
81.16,75.8,52
119.7,60.2,72
89.49,32.33,32
96.69,66.85,67
112.87,78.04,65
106.69,52.72,100
74.99,79.64,24
106.57,34.64,86
77.82,71.05,18
105.83,44.74,10
107.79,43.78,97
85.89,60.08,14
78.95,53.19,40
76.89,70.61,4
93.67,42.13,78
114.74,64.39,85
103.74,74.34,98
86.02,47.82,69
89.81,64.85,16
99.93,32.93,91
108.17,41.37,90
94.05,55.03,15
113.68,47.88,35
105.45,50.62,88
85.51,78.71,45
81.57,47.78,41
88.5,69.8,78
96.34,66.89,89
86.89,65.03,55
90.32,67.43,86
101.77,70.72,12
75.8,55.2,97
118.18,48.29,4
78.74,50.38,40
113.67,63.21,5
103.56,73.7,20
100.86,79.01,50
102.56,56.32,4
81.38,61.46,76
111.78,58.05,66
81.61,59.87,92
114.57,71.32,29
83.25,66.67,26
113.76,65.72,23
81.29,42.24,89
92.64,47.01,19
97.88,47.64,71
107.31,33.25,41
104.77,65.85,50
105.24,40.66,99
118.23,38.85,1
71.16,43.46,18
112.06,68.76,66
98.97,34.49,89
77.25,68.13,39
106.97,79.08,0
105.7,47.6,18
79.79,60.02,63
88.6,39.5,22
84.73,37.67,9
115.9,37.93,68
105.07,33.75,98
109.97,60.5,88
112.18,38.51,67
75.0,58.81,68
115.49,47.42,48
98.28,40.52,90
87.7,69.76,84
81.85,64.03,7
96.37,31.44,56
117.65,50.09,80
78.04,35.54,43
75.31,55.74,51
117.43,44.47,25
104.39,76.19,55
119.72,37.4,9
99.46,64.43,50
92.46,31.79,46
79.32,50.47,84
100.82,48.7,85
106.4,63.51,61
71.92,52.36,51
101.9,54.51,38
92.43,52.17,43
113.95,48.86,2
95.0,60.85,48
119.5,60.69,0
82.84,52.88,83
77.21,76.9,29
98.71,36.07,29
86.21,36.76,36
113.57,75.82,41
106.97,39.85,31
77.69,41.23,10
118.28,58.14,96
109.65,63.2,27
108.79,76.85,33
72.9,74.25,88
77.68,57.05,13
82.24,36.83,27
101.4,37.23,79
117.55,55.7,97
103.93,55.64,5
110.08,54.18,40
118.81,33.36,92
94.07,72.88,14
95.52,60.3,51
96.49,56.95,13
81.39,60.07,39
80.51,56.59,8
75.68,38.24,84
104.81,43.54,14
103.35,48.03,17
87.69,52.81,23
106.97,46.93,82
90.19,38.78,74
74.34,35.81,20
77.09,35.29,45
111.74,38.96,38
74.17,51.43,23
119.7,71.89,60
87.28,34.53,98
118.17,63.96,2
118.3,60.41,42
119.91,44.24,89
85.5,33.4,71
74.27,35.68,25
108.05,46.97,91
80.27,44.71,25
73.39,39.65,6
114.63,68.21,8
76.94,54.88,25
100.81,69.88,32
94.2,51.95,23
74.89,39.69,45
72.32,45.9,29
89.92,59.13,44
94.06,32.64,12
105.34,58.01,20
71.0,32.85,58
85.81,68.11,56
94.45,40.95,54
111.8,76.23,99
114.9,61.7,83
83.86,63.94,3
97.63,58.64,35
80.05,42.27,72
89.46,70.8,5
88.65,60.25,50
108.68,35.61,84
85.15,41.55,91
82.27,76.44,40
114.95,69.36,52
97.05,37.61,50
113.18,32.15,46
91.56,61.7,36
110.21,70.88,3
90.76,40.61,31
105.44,49.27,31
111.08,50.17,43
118.47,70.08,40
98.79,41.36,87
97.08,65.6,20
74.47,60.45,7
117.92,48.6,25
110.78,56.57,5
84.58,43.47,5
98.56,77.63,82
79.38,63.3,92
103.7,42.33,60
90.46,66.56,1
107.87,49.16,91
87.77,41.83,32
97.49,33.12,71
87.29,63.9,18
114.29,33.54,67
88.78,71.06,25
73.41,30.89,80
73.28,37.02,75
114.21,60.32,74
90.79,45.7,90
70.66,30.55,45
95.29,39.04,11
86.67,51.93,1
99.43,35.46,26
75.39,69.56,69
91.35,53.34,43
79.17,39.31,95
88.85,41.72,94
92.81,67.47,54
81.14,43.71,67
104.39,73.33,66
94.17,48.22,84
73.86,70.93,70
104.14,52.91,99
81.73,55.96,37
96.38,72.23,9
74.79,79.53,99
83.91,62.81,36
81.98,43.32,73
78.55,61.85,62
112.16,59.95,1
82.9,67.23,98
86.61,33.67,83
119.29,55.61,24
97.18,48.68,77
119.82,43.61,32
89.36,76.76,21
118.39,45.02,90
94.03,43.54,53
102.34,64.61,78
73.84,54.17,69
112.65,34.27,8
95.43,63.57,18
71.22,63.33,55
95.11,70.95,4
103.19,30.23,59
119.81,49.23,60
110.31,37.59,11
94.06,67.9,2
88.07,32.57,60
90.49,57.49,88
80.36,36.23,98
75.77,63.58,4
97.04,73.83,4
89.53,37.55,99
82.51,34.68,30
114.29,34.76,60
70.59,48.25,78
102.76,52.28,36
100.09,44.75,24
102.01,32.8,52
73.45,35.25,83
103.54,69.64,47
81.54,53.52,12
100.48,71.35,26
109.92,73.1,26
83.1,55.47,5
95.06,61.83,8
76.44,42.9,95
98.42,45.61,61
108.4,59.99,38
79.89,39.06,98
74.49,52.59,9
101.03,62.86,79
112.05,50.38,46
109.49,75.56,84
71.26,76.13,63
88.04,39.35,37
73.83,60.04,21
96.78,38.31,29
107.53,46.65,34
81.64,35.71,46
73.55,67.3,17
116.43,49.28,20
79.96,79.02,65
81.86,74.35,57
